sale_id,date,store_id,region,product_id,category,units_sold,unit_price,revenue,promotion_flag,on_hand_units,lead_time_days,safety_stock,recommended_reorder_qty,stockout_risk_flag
SALE-500000,2024-04-16,STORE-05,East,PROD-1192,Grocery,4,37.24,148.96,False,13,3,10,9,False
SALE-500001,2024-02-29,STORE-03,South,PROD-1703,Grocery,3,121.71,365.13,False,81,7,21,0,False
SALE-500002,2024-11-08,STORE-10,West,PROD-1785,Grocery,25,104.71,2617.75,True,166,7,63,72,False
SALE-500003,2025-06-09,STORE-03,South,PROD-1464,Health,7,23.33,163.31,False,90,3,14,0,False
SALE-500004,2024-03-02,STORE-11,South,PROD-1499,Grocery,23,64.89,1492.47,False,240,10,86,76,False
SALE-500005,2024-01-16,STORE-12,Midwest,PROD-1049,Household,17,149.86,2547.62,False,106,3,22,0,False
SALE-500006,2025-04-10,STORE-07,South,PROD-1507,Grocery,5,135.85,679.25,False,46,3,12,0,False
SALE-500007,2025-01-21,STORE-12,Midwest,PROD-1270,Grocery,17,127.24,2163.08,False,230,3,22,0,False
SALE-500008,2025-12-16,STORE-07,South,PROD-1734,Seasonal,5,96.98,484.9,False,86,5,20,0,False
SALE-500009,2025-05-15,STORE-09,East,PROD-1599,Electronics,6,727.67,4366.02,False,22,3,13,9,False
SALE-500010,2025-11-28,STORE-01,East,PROD-1379,Grocery,26,117.14,3045.64,False,604,14,128,0,False
SALE-500011,2025-12-26,STORE-12,Midwest,PROD-1505,Electronics,3,329.93,989.79,False,100,7,21,0,False
SALE-500012,2025-02-15,STORE-12,Midwest,PROD-1783,Electronics,3,172.28,516.84,False,52,14,43,33,False
SALE-500013,2024-10-29,STORE-12,Midwest,PROD-1235,Electronics,2,82.37,164.74,True,6,10,25,39,True
SALE-500014,2025-06-27,STORE-01,East,PROD-1706,Apparel,14,45.71,639.94,False,193,7,47,0,False
SALE-500015,2025-01-14,STORE-01,East,PROD-1132,Apparel,3,28.5,85.5,False,48,5,15,0,False
SALE-500016,2025-07-22,STORE-09,East,PROD-1548,Grocery,13,13.31,173.03,True,170,10,64,24,False
SALE-500017,2025-05-29,STORE-12,Midwest,PROD-1277,Electronics,3,129.5,388.5,False,58,3,9,0,False
SALE-500018,2025-04-14,STORE-10,West,PROD-1684,Household,4,60.8,243.2,False,51,10,36,25,False
SALE-500019,2025-11-06,STORE-08,Midwest,PROD-1284,Grocery,12,114.32,1371.84,True,101,3,18,0,False
SALE-500020,2024-06-15,STORE-11,South,PROD-1224,Household,9,38.73,348.57,False,144,10,54,0,False
SALE-500021,2024-07-13,STORE-07,South,PROD-1010,Grocery,12,132.26,1587.12,False,12,7,43,115,True
SALE-500022,2025-12-12,STORE-11,South,PROD-1508,Electronics,3,110.11,330.33,False,41,10,31,20,False
SALE-500023,2024-04-05,STORE-07,South,PROD-1176,Grocery,12,51.08,612.96,False,213,7,43,0,False
SALE-500024,2024-04-13,STORE-03,South,PROD-1521,Grocery,2,63.25,126.5,False,47,7,17,0,False
SALE-500025,2024-06-19,STORE-06,West,PROD-1020,Grocery,11,141.96,1561.56,True,92,10,59,77,False
SALE-500026,2024-03-23,STORE-11,South,PROD-1132,Apparel,5,28.5,142.5,False,52,5,20,0,False
SALE-500027,2025-05-12,STORE-07,South,PROD-1696,Household,12,44.29,531.48,False,132,10,62,50,False
SALE-500028,2025-08-16,STORE-11,South,PROD-1327,Grocery,12,55.58,666.96,False,290,7,43,0,False
SALE-500029,2024-07-04,STORE-07,South,PROD-1125,Household,4,55.93,223.72,False,49,10,36,27,False
SALE-500030,2025-11-09,STORE-11,South,PROD-1276,Health,4,71.92,287.68,False,82,10,36,0,False
SALE-500031,2025-04-18,STORE-01,East,PROD-1181,Apparel,19,32.22,612.18,False,240,7,54,0,False
SALE-500032,2025-12-12,STORE-03,South,PROD-1352,Electronics,1,423.21,423.21,False,11,7,12,8,True
SALE-500033,2024-04-06,STORE-04,Midwest,PROD-1139,Apparel,3,130.46,391.38,False,61,10,31,0,False
SALE-500034,2024-03-15,STORE-06,West,PROD-1592,Apparel,6,102.09,612.54,False,44,5,22,8,False
SALE-500035,2025-09-10,STORE-06,West,PROD-1214,Seasonal,4,31.12,124.48,False,93,5,18,0,False
SALE-500036,2024-08-15,STORE-12,Midwest,PROD-1085,Grocery,21,119.47,2508.87,False,266,5,41,0,False
SALE-500037,2025-03-19,STORE-08,Midwest,PROD-1053,Household,13,46.68,606.84,False,47,5,32,50,False
SALE-500038,2025-05-20,STORE-01,East,PROD-1232,Electronics,2,318.72,637.44,False,41,5,12,0,False
SALE-500039,2024-06-14,STORE-11,South,PROD-1010,Grocery,13,132.26,1719.38,False,155,5,32,0,False
SALE-500040,2024-02-21,STORE-05,East,PROD-1667,Seasonal,7,8.96,62.72,False,90,5,23,0,False
SALE-500041,2025-11-17,STORE-04,Midwest,PROD-1346,Household,4,130.86,523.44,False,49,14,50,57,True
SALE-500042,2024-04-22,STORE-12,Midwest,PROD-1022,Health,13,131.08,1704.04,False,194,10,64,0,False
SALE-500043,2024-05-23,STORE-09,East,PROD-1674,Grocery,16,117.44,1879.04,False,159,3,21,0,False
SALE-500044,2024-05-06,STORE-04,Midwest,PROD-1778,Electronics,3,321.32,963.96,False,12,5,15,18,True
SALE-500045,2025-02-01,STORE-01,East,PROD-1052,Grocery,37,13.9,514.3,False,183,10,109,296,False
